new_cases,population
215,39835428
76,39835428
79,39835428
7,39835428
120,39835428
45,39835428
0,39835428
3,39835428
0,39835428
160,39835428
97,39835428
38,39835428
59,39835428
46,39835428
71,39835428
43,39835428
16,39835428
11,39835428
3,39835428
0,39835428
19,39835428
34,39835428
47,39835428
45,39835428
0,39835428
16,39835428
94,39835428
96,39835428
26,39835428
24,39835428
28,39835428
34,39835428
35,39835428
75,39835428
56,39835428
43,39835428
40,39835428
17,39835428
11,39835428
36,39835428
125,39835428
30,39835428
22,39835428
49,39835428
25,39835428
16,39835428
6,39835428
35,39835428
12,39835428
15,39835428
14,39835428
17,39835428
5,39835428
7,39835428
44,39835428
81,39835428
64,39835428
62,39835428
68,39835428
77,39835428
10,39835428
96,39835428
71,39835428
58,39835428
66,39835428
32,39835428
47,39835428
68,39835428
59,39835428
87,39835428
88,39835428
0,39835428
49,39835428
116,39835428
61,39835428
81,39835428
65,39835428
104,39835428
95,39835428
113,39835428
123,39835428
66,39835428
91,39835428
76,39835428
132,39835428
95,39835428
86,39835428
121,39835428
40,39835428
58,39835428
126,39835428
138,39835428
166,39835428
146,39835428
186,39835428
174,39835428
66,39835428
205,39835428
163,39835428
225,39835428
223,39835428
377,39835428
215,39835428
60,39835428
203,39835428
282,39835428
290,39835428
212,39835428
226,39835428
123,39835428
127,39835428
249,39835428
283,39835428
219,39835428
263,39835428
278,39835428
130,39835428
253,39835428
260,39835428
235,39835428
230,39835428
174,39835428
213,39835428
73,39835428
126,39835428
321,39835428
211,39835428
219,39835428
224,39835428
275,39835428
254,39835428
80,39835428
142,39835428
210,39835428
182,39835428
287,39835428
238,39835428
169,39835428
84,39835428
159,39835428
140,39835428
183,39835428
0,39835428
183,39835428
73,39835428
123,39835428
200,39835428
102,39835428
94,39835428
102,39835428
125,39835428
68,39835428
89,39835428
49,39835428
46,39835428
106,39835428
85,39835428
56,39835428
107,39835428
46,39835428
78,39835428
79,39835428
137,39835428
125,39835428
80,39835428
76,39835428
36,39835428
77,39835428
78,39835428
104,39835428
37,39835428
48,39835428
69,39835428
15,39835428
36,39835428
62,39835428
53,39835428
57,39835428
34,39835428
65,39835428
5,39835428
24,39835428
25,39835428
18,39835428
18,39835428
25,39835428
28,39835428
19,39835428
22,39835428
4,39835428
22,39835428
17,39835428
18,39835428
5,39835428
24,39835428
13,39835428
29,39835428
18,39835428
16,39835428
16,39835428
11,39835428
7,39835428
19,39835428
26,39835428
11,39835428
5,39835428
52,39835428
13,39835428
7,39835428
29,39835428
0,39835428
18,39835428
23,39835428
42,39835428
0,39835428
26,39835428
0,39835428
10,39835428
21,39835428
28,39835428
25,39835428
24,39835428
10,39835428
50,39835428
24,39835428
15,39835428
34,39835428
28,39835428
36,39835428
4,39835428
28,39835428
62,39835428
70,39835428
63,39835428
55,39835428
23,39835428
81,39835428
41,39835428
62,39835428
94,39835428
70,39835428
76,39835428
125,39835428
16,39835428
82,39835428
122,39835428
128,39835428
42,39835428
78,39835428
109,39835428
72,39835428
105,39835428
139,39835428
177,39835428
98,39835428
230,39835428
188,39835428
113,39835428
172,39835428
210,39835428
145,39835428
206,39835428
